timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785317137339,71,TR - Login-166,200,OK,Scenario - Login 3-15,text,true,,5073,515,10,25,https://www.demoblaze.com/index.html,67,0,0
1785317137442,182,TR - Select Product-314,200,OK,Scenario - Place Order 4-8,text,true,,449,465,15,25,https://www.demoblaze.com/config.json,181,0,0
1785317137468,185,TR - Login-166,200,OK,Scenario - Login 3-16,text,true,,4944,515,10,25,https://www.demoblaze.com/index.html,181,0,0
1785317137488,208,TR - Login-184,200,OK,Scenario - Place Order 4-14,text,true,,499,471,15,25,https://api.demoblaze.com/check,208,0,0
1785317120546,1084,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Place Order 4-14,,true,,9107,3367,15,25,null,1077,16067,0
1785317137520,189,TR - Login-164,200,OK,Scenario - Login 3-19,text,true,,449,500,10,25,https://api.demoblaze.com/login,189,0,0
1785317137845,325,TR - Open Home Page 1,200,OK,Scenario - Login 3-20,text,true,,5060,515,11,26,https://www.demoblaze.com/index.html,323,0,130
1785317138117,181,TR - Login-181,200,OK,Scenario - Login 3-14,text,true,,438,458,11,26,https://www.demoblaze.com/config.json,181,0,0
1785317138128,183,TR - Login-184,200,OK,Scenario - Login 3-11,text,true,,494,471,11,26,https://api.demoblaze.com/check,182,0,0
1785317111565,1192,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Login 3-11,,true,,9329,3367,11,26,null,1187,25554,0
1785317138170,179,TR - Open Home Page 2,200,OK,Scenario - Login 3-20,text,true,,597,458,10,25,https://www.demoblaze.com/config.json,179,0,0
1785317138398,212,TR - Login-183,200,OK,Scenario - Place Order 4-12,text,true,,1651,400,15,25,https://api.demoblaze.com/entries,212,0,0
1785317138459,184,TR - Select Product-319,200,OK,Scenario - Place Order 4-4,text,true,,664,461,15,25,https://api.demoblaze.com/view,183,0,0
1785317118019,1006,TC - Select Product,200,"Number of samples in transaction : 6, number of failing samples : 0",Scenario - Place Order 4-4,,true,,8091,2918,15,25,null,1001,19618,0
1785317138351,345,TR - Open Home Page 3,200,OK,Scenario - Login 3-20,text,true,,1545,400,10,25,https://api.demoblaze.com/entries,345,0,126
1785317137844,849,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-20,,true,,7202,1373,10,25,null,847,3,256
1785317138530,195,TR - Login-166,200,OK,Scenario - Login 3-17,text,true,,5078,515,10,25,https://www.demoblaze.com/index.html,191,0,0
1785317138740,187,TR - Select Product-300,200,OK,Scenario - Place Order 4-9,text,true,,5296,522,15,25,https://www.demoblaze.com/prod.html?idp_=11,185,0,0
1785317138760,170,TR - Login-181,200,OK,Scenario - Place Order 4-15,text,true,,468,458,15,25,https://www.demoblaze.com/config.json,170,0,0
1785317138796,189,TR - Select Product-316,200,OK,Scenario - Place Order 4-6,text,true,,449,500,15,25,https://api.demoblaze.com/check,189,0,0
1785317138925,217,TR - Select Product-300,200,OK,Scenario - Place Order 4-11,text,true,,5410,522,15,25,https://www.demoblaze.com/prod.html?idp_=11,211,0,0
1785317139124,194,TR - Select Product-320,200,OK,Scenario - Place Order 4-2,text,true,,697,471,15,25,https://api.demoblaze.com/check,194,0,0
1785317139163,187,TR - Login-165,200,OK,Scenario - Login 3-19,text,true,,438,523,10,25,https://api.demoblaze.com/login,187,0,0
1785317139805,203,TR - Login-184,200,OK,Scenario - Place Order 4-12,text,true,,688,471,15,25,https://api.demoblaze.com/check,203,0,0
1785317115209,1224,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Place Order 4-12,,true,,9361,3367,15,25,null,1219,23575,0
1785317139970,184,TR - Login-164,200,OK,Scenario - Login 3-20,text,true,,449,500,10,25,https://api.demoblaze.com/login,184,0,0
1785317139963,211,TR - Login-183,200,OK,Scenario - Login 3-12,text,true,,1639,400,10,25,https://api.demoblaze.com/entries,211,0,0
1785317140345,64,TR - Select Product-314,200,OK,Scenario - Place Order 4-11,text,true,,514,465,15,25,https://www.demoblaze.com/config.json,63,0,0
1785317140246,201,TR - Login-183,200,OK,Scenario - Login 3-13,text,true,,1656,400,10,25,https://api.demoblaze.com/entries,200,0,0
1785317140300,173,TR - Login-182,200,OK,Scenario - Login 3-14,text,true,,449,500,10,25,https://api.demoblaze.com/check,173,0,0
1785317140619,195,TR - Select Category-296,200,OK,Scenario - Place Order 4-4,text,true,,449,500,15,25,https://api.demoblaze.com/bycat,195,0,0
1785317140639,175,TR - Select Product-317,200,OK,Scenario - Place Order 4-6,text,true,,449,499,15,25,https://api.demoblaze.com/view,175,0,0
1785317140722,197,TR - Login-183,200,OK,Scenario - Place Order 4-13,text,true,,1586,400,15,26,https://api.demoblaze.com/entries,195,0,0
1785317140803,190,TR - Login-166,200,OK,Scenario - Login 3-19,text,true,,4995,515,11,26,https://www.demoblaze.com/index.html,186,0,0
1785317140835,192,TR - Open Home Page 1,200,OK,Scenario - Login 3-21,text,true,,4967,515,11,26,https://www.demoblaze.com/index.html,190,0,122
1785317141028,61,TR - Open Home Page 2,200,OK,Scenario - Login 3-21,text,true,,608,458,11,26,https://www.demoblaze.com/config.json,61,0,0
1785317141045,173,TR - Select Category-296,200,OK,Scenario - Place Order 4-14,text,true,,449,500,15,26,https://api.demoblaze.com/bycat,173,0,0
1785317141120,184,TR - Select Product-316,200,OK,Scenario - Place Order 4-8,text,true,,449,500,15,26,https://api.demoblaze.com/check,184,0,0
1785317141163,183,TR - Select Category-296,200,OK,Scenario - Place Order 4-3,text,true,,449,500,15,26,https://api.demoblaze.com/bycat,183,0,0
1785317141090,313,TR - Open Home Page 3,200,OK,Scenario - Login 3-21,text,true,,1572,400,11,26,https://api.demoblaze.com/entries,312,0,121
1785317140835,566,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-21,,true,,7147,1373,11,26,null,563,2,243
1785317141319,206,TR - Login-165,200,OK,Scenario - Login 3-18,text,true,,536,523,11,26,https://api.demoblaze.com/login,206,0,0
1785317141588,192,TR - Select Product-316,200,OK,Scenario - Place Order 4-7,text,true,,449,500,15,26,https://api.demoblaze.com/check,192,0,0
1785317141929,186,TR - Select Product-300,200,OK,Scenario - Place Order 4-10,text,true,,5459,522,15,26,https://www.demoblaze.com/prod.html?idp_=11,183,0,0
1785317142069,173,TR - Select Product-316,200,OK,Scenario - Place Order 4-1,text,true,,449,500,15,26,https://api.demoblaze.com/check,173,0,0
1785317142318,191,TR - Select Product-316,200,OK,Scenario - Place Order 4-5,text,true,,449,500,15,26,https://api.demoblaze.com/check,191,0,0
1785317142765,196,TR - Login-184,200,OK,Scenario - Login 3-10,text,true,,641,471,11,26,https://api.demoblaze.com/check,196,0,0
1785317108470,1192,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Login 3-10,,true,,9188,3367,11,26,null,1188,33299,0
1785317142871,173,TR - Select Category-296,200,OK,Scenario - Place Order 4-12,text,true,,449,500,15,25,https://api.demoblaze.com/bycat,173,0,0
1785317143275,65,TR - Login-181,200,OK,Scenario - Login 3-16,text,true,,577,458,10,25,https://www.demoblaze.com/config.json,65,0,0
1785317143281,69,TR - Login-181,200,OK,Scenario - Login 3-15,text,true,,566,458,10,25,https://www.demoblaze.com/config.json,69,0,0
1785317143309,183,TR - Login-184,200,OK,Scenario - Place Order 4-13,text,true,,659,471,15,25,https://api.demoblaze.com/check,182,0,0
1785317117451,1061,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Place Order 4-13,,true,,9180,3367,15,25,null,1055,24981,0
1785317143399,191,TR - Login-165,200,OK,Scenario - Login 3-20,text,true,,610,523,10,25,https://api.demoblaze.com/login,190,0,0
1785317143411,322,TR - Select Product-317,200,OK,Scenario - Place Order 4-1,text,true,,449,499,15,25,https://api.demoblaze.com/view,322,0,129
1785317143757,198,TR - Select Category-297,200,OK,Scenario - Place Order 4-3,text,true,,1385,484,15,26,https://api.demoblaze.com/bycat,198,0,0
1785317136799,381,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-3,,true,,1834,984,15,26,null,381,6776,0
1785317143825,187,TR - Login-183,200,OK,Scenario - Login 3-14,text,true,,1470,400,11,26,https://api.demoblaze.com/entries,187,0,0
1785317143848,174,TR - Select Product-314,200,OK,Scenario - Place Order 4-10,text,true,,552,465,15,26,https://www.demoblaze.com/config.json,174,0,0
1785317143835,324,TR - Open Home Page 1,200,OK,Scenario - Login 3-22,text,true,,5138,515,11,26,https://www.demoblaze.com/index.html,321,0,128
1785317144019,210,TR - Select Product-320,200,OK,Scenario - Place Order 4-6,text,true,,575,471,15,26,https://api.demoblaze.com/check,210,0,0
1785317144161,75,TR - Open Home Page 2,200,OK,Scenario - Login 3-22,text,true,,436,458,11,26,https://www.demoblaze.com/config.json,75,0,0
1785317144229,65,TR - Login-181,200,OK,Scenario - Login 3-17,text,true,,639,458,11,26,https://www.demoblaze.com/config.json,64,0,0
1785317144158,175,TR - Login-182,200,OK,Scenario - Place Order 4-15,text,true,,449,500,15,26,https://api.demoblaze.com/check,175,0,0
1785317144344,183,TR - Select Product-314,200,OK,Scenario - Place Order 4-9,text,true,,445,465,15,26,https://www.demoblaze.com/config.json,182,0,0
1785317144237,313,TR - Open Home Page 3,200,OK,Scenario - Login 3-22,text,true,,1666,400,11,26,https://api.demoblaze.com/entries,312,0,123
1785317143833,712,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-22,,true,,7240,1373,11,26,null,708,5,251
1785317144558,200,TR - Login-184,200,OK,Scenario - Login 3-12,text,true,,593,471,11,26,https://api.demoblaze.com/check,194,0,0
1785317114442,1194,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Login 3-12,,true,,9289,3367,11,26,null,1183,29122,0
1785317144455,315,TR - Select Product-319,200,OK,Scenario - Place Order 4-2,text,true,,831,461,15,25,https://api.demoblaze.com/view,315,0,123
1785317118589,1139,TC - Select Product,200,"Number of samples in transaction : 6, number of failing samples : 0",Scenario - Place Order 4-2,,true,,8558,2918,15,25,null,1131,25042,123
1785317144661,178,TR - Login-166,200,OK,Scenario - Login 3-20,text,true,,5143,515,10,25,https://www.demoblaze.com/index.html,174,0,0
1785317144680,173,TR - Select Product-317,200,OK,Scenario - Place Order 4-7,text,true,,449,499,15,25,https://api.demoblaze.com/view,173,0,0
1785317145024,209,TR - Select Category-297,200,OK,Scenario - Place Order 4-4,text,true,,1430,484,15,25,https://api.demoblaze.com/bycat,209,0,0
1785317138643,404,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-4,,true,,1879,984,15,25,null,404,6186,0
1785317145439,188,TR - Select Product-316,200,OK,Scenario - Place Order 4-11,text,true,,449,500,15,25,https://api.demoblaze.com/check,188,0,0
1785317145634,214,TR - Login-184,200,OK,Scenario - Login 3-13,text,true,,552,471,10,25,https://api.demoblaze.com/check,213,0,0
1785317117605,1108,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Login 3-13,,true,,9230,3367,10,25,null,1102,27136,0
1785317145938,187,TR - Select Product-317,200,OK,Scenario - Place Order 4-8,text,true,,449,499,15,24,https://api.demoblaze.com/view,187,0,0
1785317146135,204,TR - Select Category-297,200,OK,Scenario - Place Order 4-12,text,true,,1605,484,15,24,https://api.demoblaze.com/bycat,203,0,0
1785317140009,377,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-12,,true,,2054,984,15,24,null,376,5953,0
1785317146165,192,TR - Login-181,200,OK,Scenario - Login 3-19,text,true,,636,458,9,24,https://www.demoblaze.com/config.json,192,0,0
1785317146606,64,TR - Login-181,200,OK,Scenario - Login 3-20,text,true,,589,458,9,24,https://www.demoblaze.com/config.json,63,0,0
1785317146489,219,TR - Select Category-297,200,OK,Scenario - Place Order 4-14,text,true,,1548,484,15,24,https://api.demoblaze.com/bycat,218,0,0
1785317137697,392,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-14,,true,,1997,984,15,24,null,391,8619,0
1785317146624,170,TR - Login-164,200,OK,Scenario - Login 3-22,text,true,,449,500,9,24,https://api.demoblaze.com/login,170,0,0
1785317146725,71,TR - Login-166,200,OK,Scenario - Login 3-18,text,true,,5063,515,9,24,https://www.demoblaze.com/index.html,66,0,0
1785317146744,171,TR - Select Category-296,200,OK,Scenario - Place Order 4-13,text,true,,449,500,15,25,https://api.demoblaze.com/bycat,171,0,0
1785317146761,189,TR - Select Product-300,200,OK,Scenario - Place Order 4-3,text,true,,5540,522,15,25,https://www.demoblaze.com/prod.html?idp_=11,184,0,0
1785317146811,192,TR - Login-182,200,OK,Scenario - Login 3-15,text,true,,449,500,10,25,https://api.demoblaze.com/check,192,0,0
1785317146838,202,TR - Open Home Page 1,200,OK,Scenario - Login 3-23,text,true,,4911,515,10,25,https://www.demoblaze.com/index.html,200,0,135
1785317146915,176,TR - Login-182,200,OK,Scenario - Login 3-17,text,true,,449,500,10,25,https://api.demoblaze.com/check,176,0,0
1785317146862,261,TR - Login-184,200,OK,Scenario - Login 3-14,text,true,,654,471,10,25,https://api.demoblaze.com/check,261,0,0
1785317120519,1338,TC - Login,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario - Login 3-14,,true,,8979,3367,10,25,null,1333,25267,0
1785317146956,185,TR - Select Product-320,200,OK,Scenario - Place Order 4-1,text,true,,515,471,15,24,https://api.demoblaze.com/check,185,0,0
1785317147041,170,TR - Open Home Page 2,200,OK,Scenario - Login 3-23,text,true,,581,458,9,24,https://www.demoblaze.com/config.json,169,0,0
1785317147224,193,TR - Login-164,200,OK,Scenario - Login 3-21,text,true,,449,500,9,24,https://api.demoblaze.com/login,193,0,0
1785317147350,181,TR - Select Product-316,200,OK,Scenario - Place Order 4-9,text,true,,449,500,15,24,https://api.demoblaze.com/check,181,0,0
1785317147212,361,TR - Open Home Page 3,200,OK,Scenario - Login 3-23,text,true,,1479,400,9,24,https://api.demoblaze.com/entries,361,0,121
1785317146837,733,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-23,,true,,6971,1373,9,24,null,730,3,256
1785317147503,179,TR - Login-182,200,OK,Scenario - Login 3-16,text,true,,449,500,9,24,https://api.demoblaze.com/check,179,0,0
1785317147768,196,TR - Select Product-317,200,OK,Scenario - Place Order 4-5,text,true,,449,499,15,24,https://api.demoblaze.com/view,196,0,0
1785317147945,172,TR - Select Product-317,200,OK,Scenario - Place Order 4-11,text,true,,449,499,15,24,https://api.demoblaze.com/view,172,0,0
1785317148071,177,TR - Select Product-316,200,OK,Scenario - Place Order 4-10,text,true,,449,500,15,24,https://api.demoblaze.com/check,177,0,0
1785317148274,205,TR - Select Category-297,200,OK,Scenario - Place Order 4-13,text,true,,1577,484,15,24,https://api.demoblaze.com/bycat,203,0,0
1785317143493,376,TC - Select Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario - Place Order 4-13,,true,,2026,984,15,24,null,374,4610,0
1785317148517,231,TR - Login-183,200,OK,Scenario - Login 3-15,text,true,,1594,400,9,24,https://api.demoblaze.com/entries,231,0,0
1785317148932,67,TR - Login-181,200,OK,Scenario - Login 3-18,text,true,,503,458,9,24,https://www.demoblaze.com/config.json,67,0,0
1785317148989,170,TR - Select Category-296,200,OK,Scenario - Place Order 4-2,text,true,,449,500,15,24,https://api.demoblaze.com/bycat,170,0,0
1785317149369,192,TR - Select Product-320,200,OK,Scenario - Place Order 4-11,text,true,,629,471,15,24,https://api.demoblaze.com/check,192,0,0
1785317149440,177,TR - Select Product-300,200,OK,Scenario - Place Order 4-12,text,true,,5418,522,15,24,https://www.demoblaze.com/prod.html?idp_=11,173,0,0
